AUDIO_FILE_NAME,SCORE,Prediction,SPEAKER_ID,ENVIRONMENT_ID,ATTACK_ID,KEY,Stat
LA_E_7338223,-1827.3108297194435,spoof,LA_0014,-,A07,spoof,True
LA_E_9469091,-2782.3580371703156,spoof,LA_0033,-,A10,spoof,True
LA_E_1788336,-1716.014268263269,spoof,LA_0035,-,A07,spoof,True
LA_E_6616286,-0.12410830295743835,spoof,LA_0009,-,A19,spoof,True
LA_E_1222387,-2280.5975291972086,spoof,LA_0013,-,A07,spoof,True
LA_E_8885066,-1905.662952418806,spoof,LA_0027,-,A12,spoof,True
LA_E_1242986,-2284.157402775779,spoof,LA_0003,-,A07,spoof,True
LA_E_8854996,-2248.9290935119716,spoof,LA_0035,-,A07,spoof,True
LA_E_9574938,-2042.3602539286462,spoof,LA_0043,-,A15,spoof,True
LA_E_9991246,9.615704907284226,bonafide,LA_0036,-,A17,spoof,False
LA_E_2273981,-2067.346692037669,spoof,LA_0006,-,A16,spoof,True
LA_E_2451500,-2377.6373358997253,spoof,LA_0036,-,A08,spoof,True
LA_E_2085936,-54.83757714094281,spoof,LA_0022,-,A18,spoof,True
LA_E_6602695,-2607.8697453570476,spoof,LA_0045,-,A07,spoof,True
LA_E_1594022,-2324.923015505225,spoof,LA_0016,-,A07,spoof,True
LA_E_2922167,-14.204078609508997,spoof,LA_0001,-,A18,spoof,True
LA_E_3823846,-2376.3319805319775,spoof,LA_0004,-,A16,spoof,True
LA_E_7488951,-2494.952801035737,spoof,LA_0026,-,A07,spoof,True
LA_E_2726192,-3036.1817827616137,spoof,LA_0012,-,A07,spoof,True
LA_E_1588001,-9.846269257397353,spoof,LA_0046,-,A18,spoof,True
LA_E_5771783,-2393.9472748957915,spoof,LA_0014,-,A12,spoof,True
LA_E_9558857,-2075.0618073347773,spoof,LA_0035,-,A15,spoof,True
LA_E_1668200,73.16947352972193,bonafide,LA_0024,-,A19,spoof,False
LA_E_5866238,-2637.316677311385,spoof,LA_0010,-,A09,spoof,True
LA_E_8332203,-2014.1523270178827,spoof,LA_0001,-,A11,spoof,True
LA_E_5577999,-76.77293408266519,spoof,LA_0015,-,A17,spoof,True
LA_E_1991908,-1928.8223346121235,spoof,LA_0042,-,A10,spoof,True
LA_E_4127411,112.46100796569431,bonafide,LA_0016,-,A18,spoof,False
LA_E_6710899,-2245.2810173280554,spoof,LA_0024,-,A16,spoof,True
LA_E_8957471,-2500.711923057119,spoof,LA_0047,-,A16,spoof,True
LA_E_6708050,-2208.459701053052,spoof,LA_0037,-,A09,spoof,True
LA_E_7024605,-1904.2142387589638,spoof,LA_0011,-,A08,spoof,True
LA_E_8226122,-2318.2296044044706,spoof,LA_0016,-,A11,spoof,True
LA_E_3587956,-2255.7153525038434,spoof,LA_0046,-,A10,spoof,True
LA_E_3482836,-194.03240177575026,spoof,LA_0014,-,A18,spoof,True
LA_E_9327803,42.70493857354904,bonafide,LA_0027,-,A17,spoof,False
LA_E_9223671,43.26296219300684,bonafide,LA_0045,-,A19,spoof,False
LA_E_4291070,-2041.1370222708515,spoof,LA_0018,-,A10,spoof,True
LA_E_9392318,-2318.072527240151,spoof,LA_0021,-,A15,spoof,True
LA_E_4739506,-3016.984406962146,spoof,LA_0043,-,A13,spoof,True
LA_E_6637471,-5.129111461014418,spoof,LA_0001,-,A17,spoof,True
LA_E_6024354,66.35953106582656,bonafide,LA_0027,-,A17,spoof,False
LA_E_2917679,248.86530388654887,bonafide,LA_0006,-,A19,spoof,False
LA_E_2184116,-35.63305862388984,spoof,LA_0037,-,A18,spoof,True
LA_E_6420980,93.54500071813254,bonafide,LA_0011,-,A19,spoof,False
LA_E_6880748,-28.483423058399467,spoof,LA_0026,-,A19,spoof,True
LA_E_8370420,-2316.602790445258,spoof,LA_0027,-,A07,spoof,True
LA_E_1197963,-2176.6433175130796,spoof,LA_0024,-,A07,spoof,True
LA_E_5152040,-2328.8112416774334,spoof,LA_0003,-,A09,spoof,True
LA_E_2530721,-2267.0902036289826,spoof,LA_0017,-,A11,spoof,True
LA_E_5291521,-2305.255457949025,spoof,LA_0009,-,A09,spoof,True
LA_E_1525783,-2142.2760040886865,spoof,LA_0005,-,A16,spoof,True
LA_E_5204675,-2089.117292021685,spoof,LA_0017,-,A07,spoof,True
LA_E_5593777,-2331.94913358612,spoof,LA_0045,-,A16,spoof,True
LA_E_4898489,30.371887609548367,bonafide,LA_0019,-,A19,spoof,False
LA_E_6221261,-2618.2929835593436,spoof,LA_0041,-,A13,spoof,True
LA_E_6031855,-1647.4043133184332,spoof,LA_0027,-,A07,spoof,True
LA_E_1155345,-1903.267713422047,spoof,LA_0035,-,A16,spoof,True
LA_E_6136908,-3280.1195443522815,spoof,LA_0014,-,A13,spoof,True
LA_E_1199584,-2265.7500396285755,spoof,LA_0042,-,A10,spoof,True
LA_E_6528381,-2579.9251538362764,spoof,LA_0001,-,A14,spoof,True
LA_E_5512899,-2976.4025897458896,spoof,LA_0017,-,A14,spoof,True
LA_E_7609422,-2635.986020330508,spoof,LA_0029,-,A16,spoof,True
LA_E_6715232,-114.31650748802667,spoof,LA_0032,-,A19,spoof,True
LA_E_3193228,-2676.0106834960097,spoof,LA_0025,-,A12,spoof,True
LA_E_4863992,-2027.936445609549,spoof,LA_0028,-,A12,spoof,True
LA_E_9071365,-2066.036151241035,spoof,LA_0026,-,A16,spoof,True
LA_E_4097339,-233.95437617264224,spoof,LA_0022,-,A18,spoof,True
LA_E_3001021,178.282951255964,bonafide,LA_0014,-,A19,spoof,False
LA_E_2133299,-13.029523234824183,spoof,LA_0042,-,A17,spoof,True
LA_E_1884868,13.88619777980989,bonafide,LA_0026,-,A17,spoof,False
LA_E_7799616,-2191.029212761579,spoof,LA_0034,-,A12,spoof,True
LA_E_7410534,-2284.8522574148146,spoof,LA_0009,-,A07,spoof,True
LA_E_5927505,-3086.972182166025,spoof,LA_0020,-,A10,spoof,True
LA_E_8923730,-548.2915160369425,spoof,LA_0004,-,A08,spoof,True
LA_E_1123039,-2908.806079913441,spoof,LA_0018,-,A14,spoof,True
LA_E_7144235,-52.64805906771221,spoof,LA_0005,-,A18,spoof,True
LA_E_3890289,-2518.182080141422,spoof,LA_0025,-,A14,spoof,True
LA_E_5111072,-2884.1292241731835,spoof,LA_0020,-,A13,spoof,True
LA_E_4751664,74.63250271513652,bonafide,LA_0019,-,A17,spoof,False
LA_E_4189045,-2951.211781072182,spoof,LA_0027,-,A12,spoof,True
LA_E_9126975,-2333.919822643536,spoof,LA_0004,-,A08,spoof,True
LA_E_5233855,-37.53504159007798,spoof,LA_0043,-,A19,spoof,True
LA_E_3963593,62.930951937565396,bonafide,LA_0003,-,A19,spoof,False
LA_E_4860347,107.48845779182648,bonafide,LA_0016,-,A17,spoof,False
LA_E_1314587,70.41954398342705,bonafide,LA_0014,-,A18,spoof,False
LA_E_3512301,-1304.169254246051,spoof,LA_0001,-,A16,spoof,True
LA_E_7182153,-2082.846114070301,spoof,LA_0026,-,A16,spoof,True
LA_E_1825330,-2546.9435280626026,spoof,LA_0036,-,A09,spoof,True
LA_E_6238943,-110.25527235070831,spoof,LA_0006,-,A19,spoof,True
LA_E_8265540,-29.948343169670807,spoof,LA_0015,-,A18,spoof,True
